time,gFx,gFy,gFz,TgF
1.332012,-0.0765,-0.0892,1.0257,1.032
1.332343,-0.0954,-0.0987,1.0709,1.080
1.332671,-0.1322,-0.1031,1.1212,1.134
1.333340,-0.1714,-0.1156,1.1359,1.155
1.334802,-0.1958,-0.1204,1.1410,1.164
1.335534,-0.2254,-0.1293,1.1322,1.162
1.336066,-0.2577,-0.1390,1.1014,1.140
1.336685,-0.2764,-0.1393,1.0582,1.103
1.337138,-0.2927,-0.1451,0.9914,1.044
1.337495,-0.3176,-0.1414,0.9341,0.997
1.337745,-0.2999,-0.1722,0.8593,0.926
1.338087,-0.2855,-0.2006,0.7537,0.831
1.338785,-0.3230,-0.2067,0.6276,0.735
1.339395,-0.3847,-0.1686,0.6154,0.745
1.340126,-0.4229,-0.1270,0.6953,0.824
1.341813,-0.5022,-0.0838,0.7307,0.891
1.342801,-0.5739,-0.0479,0.6489,0.868
1.343410,-0.6399,-0.0119,0.5012,0.813
1.344174,-0.6851,0.0209,0.4028,0.795
1.344646,-0.7208,0.0579,0.3502,0.803
1.345071,-0.7264,0.0766,0.3174,0.796
1.345498,-0.7252,0.0728,0.2830,0.782
1.345934,-0.7261,0.0691,0.2898,0.785
1.346267,-0.7130,0.0738,0.3057,0.779
1.346893,-0.7361,0.0612,0.3365,0.812
1.347372,-0.7124,0.0417,0.3558,0.797
1.347820,-0.6917,0.0232,0.3541,0.777
1.348397,-0.6634,0.0276,0.3605,0.756
1.348932,-0.6313,0.0288,0.3763,0.736
1.349534,-0.5973,0.0176,0.4218,0.731
1.349928,-0.5690,0.0305,0.4467,0.724
1.350454,-0.5267,0.0388,0.4804,0.714
1.351112,-0.4879,0.0366,0.5024,0.701
1.351561,-0.4358,0.0286,0.5340,0.690
1.351976,-0.4016,0.0141,0.5682,0.696
1.352458,-0.3524,-0.0068,0.6144,0.708
1.352909,-0.3200,-0.0298,0.6468,0.722
1.353581,-0.2785,-0.0496,0.6631,0.721
1.354298,-0.2801,-0.0713,0.6929,0.751
1.355039,-0.2762,-0.0897,0.7104,0.767
1.355782,-0.3095,-0.0894,0.7358,0.803
1.356376,-0.3342,-0.0992,0.7840,0.858
1.356842,-0.3855,-0.0941,0.8123,0.904
1.357316,-0.4724,-0.0818,0.8334,0.961
1.357882,-0.5495,-0.0806,0.8693,1.032
1.358654,-0.6008,-0.0831,0.9028,1.088
1.359356,-0.6462,-0.0923,0.9262,1.133
1.360087,-0.6888,-0.1011,0.9448,1.174
1.360952,-0.7200,-0.1192,0.9497,1.198
1.361447,-0.7655,-0.1414,0.9681,1.242
1.361979,-0.7831,-0.1622,0.9886,1.272
1.362481,-0.8207,-0.1777,1.0019,1.307
1.363234,-0.8435,-0.1992,1.0228,1.341
1.363721,-0.8584,-0.2204,1.0384,1.365
1.364224,-0.8703,-0.2314,1.0582,1.389
1.364801,-0.8713,-0.2448,1.0623,1.396
1.365305,-0.8711,-0.2470,1.0856,1.414
1.365641,-0.8699,-0.2458,1.1117,1.433
1.366002,-0.8573,-0.2544,1.1259,1.438
1.366480,-0.8440,-0.2502,1.1366,1.438
