time,gFx,gFy,gFz,TgF
0.769559,-0.1533,0.2334,0.9167,0.958
0.772143,-0.1589,0.2220,0.9155,0.955
0.776707,-0.1550,0.2099,0.9079,0.945
0.777301,-0.1496,0.2094,0.8812,0.918
0.779497,-0.1379,0.2028,0.8627,0.897
0.781980,-0.1257,0.1952,0.8383,0.870
0.784796,-0.1169,0.1945,0.8316,0.862
0.786888,-0.1130,0.1820,0.8285,0.856
0.789570,-0.1147,0.1749,0.8400,0.866
0.792743,-0.1130,0.1835,0.8363,0.864
0.794851,-0.1345,0.1695,0.8568,0.884
0.797276,-0.1291,0.1656,0.8563,0.882
0.800016,-0.1499,0.1651,0.8676,0.896
0.802759,-0.1359,0.1703,0.8514,0.879
0.804972,-0.1328,0.1833,0.8588,0.888
0.808972,-0.1262,0.1835,0.8490,0.878
0.809589,-0.1145,0.1945,0.8416,0.871
0.812179,-0.1073,0.2008,0.8446,0.875
0.815126,-0.0947,0.2118,0.8365,0.868
0.817235,-0.0785,0.2180,0.8272,0.859
0.820785,-0.0567,0.2243,0.8238,0.856
0.822145,-0.0455,0.2311,0.8231,0.856
0.825133,-0.0052,0.2455,0.8192,0.855
0.827329,0.0135,0.2483,0.8295,0.866
0.829562,0.0343,0.2507,0.8390,0.876
0.832452,0.0516,0.2504,0.8495,0.887
0.834869,0.0639,0.2609,0.8766,0.917
0.837026,0.1108,0.2685,0.9269,0.971
0.839779,0.1594,0.2758,0.9705,1.021
0.842337,0.2173,0.2888,1.0364,1.098
0.844953,0.2486,0.2947,1.1056,1.171
0.847360,0.3085,0.3047,1.1862,1.263
0.849940,0.3591,0.3161,1.2566,1.345
0.852605,0.3787,0.3206,1.3253,1.415
0.854896,0.3874,0.3210,1.3696,1.459
0.858755,0.3916,0.3287,1.3979,1.488
0.859919,0.3591,0.3287,1.4006,1.483
0.862302,0.3083,0.3426,1.3579,1.434
0.865095,0.2364,0.3423,1.3080,1.373
0.867754,0.1653,0.3177,1.2398,1.290
0.869690,0.0527,0.3077,1.2139,1.253
0.872420,-0.0436,0.3071,1.1826,1.223
0.875199,-0.1291,0.2979,1.1620,1.207
0.877309,-0.1867,0.2798,1.0802,1.131
0.879812,-0.2426,0.2765,1.0096,1.075
0.882357,-0.2860,0.2665,0.9502,1.027
0.885082,-0.2997,0.2812,0.9252,1.012
0.887289,-0.3400,0.2944,0.9292,1.032
0.889783,-0.3889,0.2827,0.9695,1.082
0.892530,-0.4053,0.2705,0.9902,1.104
0.894901,-0.4178,0.2467,0.9942,1.106
0.897380,-0.3974,0.2143,1.0019,1.099
0.900242,-0.3789,0.2003,0.9988,1.087
0.902416,-0.3689,0.1808,0.9886,1.071
0.905117,-0.3603,0.1840,0.9602,1.042
0.910088,-0.4183,0.2145,0.9174,1.031
0.911162,-0.4104,0.2038,0.9050,1.014
0.912449,-0.4185,0.1881,0.9018,1.012
0.915133,-0.4050,0.1698,0.9177,1.017
0.917542,-0.4290,0.1683,0.9192,1.028
0.920016,-0.4866,0.2038,0.9776,1.111
0.922559,-0.4719,0.1928,0.9724,1.098
0.927443,-0.4705,0.1730,0.9724,1.094
0.928652,-0.4773,0.1505,0.9737,1.095
0.929727,-0.4791,0.1265,0.9724,1.091
